Case,Checking_status,Credit_history,Purpose,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
855,'no checking','delayed previously','new car',high,'<100','>=7','male single',middle aged,skilled,good
856,'no checking','existing paid','new car',low,'100<=X<500','<1','male mar/wid',young,skilled,good
857,'no checking','existing paid',retraining,low,'no known savings','4<=X<7','female div/dep/mar',middle aged,skilled,good
858,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','male single',young,skilled,good
859,'<0','existing paid','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
860,'no checking','existing paid','new car',medium,'100<=X<500','1<=X<4','male single',young,skilled,good
861,'no checking','critical/other existing credit','used car',medium,'>=1000','1<=X<4','male single',young,skilled,good
862,'no checking','delayed previously',business,medium,'<100','1<=X<4','male mar/wid',young,skilled,bad
863,'<0','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,skilled,bad
864,'no checking','critical/other existing credit',furniture/equipment,medium,'>=1000','<1','male single',young,'unskilled resident',good
865,'no checking','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,'unskilled resident',bad
866,'no checking','existing paid',furniture/equipment,medium,'500<=X<1000','1<=X<4','female div/dep/mar',young,skilled,good
867,'<0','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,skilled,good
868,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,good
869,'no checking','existing paid',business,medium,'no known savings','>=7','male single',young,skilled,good
870,'<0','existing paid',furniture/equipment,low,'<100','>=7','female div/dep/mar',young,skilled,good
871,'no checking','delayed previously',furniture/equipment,medium,'500<=X<1000','4<=X<7','female div/dep/mar',middle aged,skilled,good
872,'>=200','critical/other existing credit','new car',low,'<100','>=7','male single',middle aged,skilled,good
873,'<0','critical/other existing credit',business,low,'100<=X<500','4<=X<7','male single',young,skilled,good
874,'no checking','existing paid','domestic appliance',low,'no known savings','<1','female div/dep/mar',young,skilled,good
875,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',young,'unskilled resident',good
876,'0<=X<200','critical/other existing credit','new car',low,'>=1000','1<=X<4','female div/dep/mar',middle aged,skilled,good
877,'<0','all paid',radio/tv,low,'<100','<1','male single',young,'high qualif/self emp/mgmt',good
878,'no checking','existing paid',radio/tv,medium,'<100','>=7','male single',young,skilled,good
879,'<0','existing paid','new car',low,'<100','<1','male single',young,'high qualif/self emp/mgmt',bad
880,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','4<=X<7','male single',young,skilled,good
881,'no checking','existing paid','used car',medium,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
882,'no checking','existing paid','used car',high,'no known savings','1<=X<4','male div/sep',middle aged,skilled,good
883,'0<=X<200','critical/other existing credit','new car',medium,'no known savings','>=7','male single',young,skilled,good
884,'no checking','critical/other existing credit',radio/tv,low,'<100',unemployed,'female div/dep/mar',old aged,'unemp/unskilled non res',good
885,'0<=X<200','existing paid',furniture/equipment,medium,'<100','4<=X<7','male div/sep',middle aged,skilled,bad
886,'<0','existing paid',education,low,'<100','<1','female div/dep/mar',middle aged,skilled,bad
887,'0<=X<200','critical/other existing credit',business,medium,'no known savings','4<=X<7','male single',young,skilled,good
888,'0<=X<200','existing paid',business,high,'<100','1<=X<4','male single',young,skilled,bad
889,'no checking','critical/other existing credit','new car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
890,'no checking','all paid','used car',medium,'no known savings','<1','male single',middle aged,skilled,good
891,'<0','critical/other existing credit',business,medium,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
892,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male single',middle aged,skilled,good
893,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,'unskilled resident',good
894,'0<=X<200','critical/other existing credit','used car',medium,'<100','1<=X<4','male single',young,skilled,good
895,'no checking','critical/other existing credit',radio/tv,low,'no known savings','1<=X<4','male single',young,skilled,good
896,'no checking','delayed previously','used car',medium,'no known savings','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
897,'<0','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,'high qualif/self emp/mgmt',good
898,'no checking','critical/other existing credit',furniture/equipment,low,'>=1000','4<=X<7','female div/dep/mar',young,skilled,good
899,'no checking','existing paid',furniture/equipment,medium,'no known savings','4<=X<7','female div/dep/mar',young,'unskilled resident',good
900,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',middle aged,skilled,bad
901,'<0','critical/other existing credit','new car',medium,'<100','>=7','male single',middle aged,skilled,bad
902,'no checking','critical/other existing credit','new car',medium,'no known savings','<1','male div/sep',middle aged,skilled,good
903,'no checking','critical/other existing credit','used car',high,'no known savings','>=7','male single',middle aged,skilled,good
904,'no checking','existing paid',radio/tv,low,'no known savings','1<=X<4','male mar/wid',middle aged,skilled,good
905,'no checking','existing paid',radio/tv,low,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
906,'<0','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
907,'<0','existing paid','new car',medium,'no known savings','4<=X<7','male single',young,'unskilled resident',good
908,'0<=X<200','existing paid',education,medium,'no known savings','1<=X<4','male mar/wid',young,skilled,good
909,'no checking','delayed previously','used car',medium,'<100','<1','female div/dep/mar',middle aged,'unskilled resident',good
910,'0<=X<200','existing paid','new car',medium,'no known savings','1<=X<4','female div/dep/mar',young,'unskilled resident',good
911,'no checking','delayed previously',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
912,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
913,'0<=X<200','existing paid',radio/tv,medium,'no known savings','>=7','female div/dep/mar',young,skilled,good
914,'no checking','existing paid',business,medium,'>=1000','>=7','male div/sep',young,skilled,good
915,'<0','all paid',business,medium,'<100','1<=X<4','male single',young,skilled,bad
916,'0<=X<200','no credits/all paid',other,low,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
917,'no checking','existing paid','used car',medium,'100<=X<500','1<=X<4','male single',young,skilled,good
918,'<0','existing paid','new car',high,'<100','>=7','male single',old aged,'high qualif/self emp/mgmt',bad
919,'<0','existing paid',furniture/equipment,medium,'100<=X<500',unemployed,'male div/sep',young,skilled,bad
920,'<0','existing paid',furniture/equipment,medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',bad
921,'no checking','critical/other existing credit',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
922,'no checking','delayed previously',radio/tv,high,'500<=X<1000','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
923,'<0','existing paid',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,bad
924,'0<=X<200','existing paid','new car',medium,'<100','4<=X<7','male single',young,skilled,good
925,'<0','all paid',furniture/equipment,medium,'<100','<1','male div/sep',middle aged,skilled,bad
926,'<0','all paid','new car',low,'<100','<1','male single',middle aged,skilled,bad
927,'<0','critical/other existing credit',furniture/equipment,low,'<100','<1','female div/dep/mar',young,skilled,good
928,'<0','existing paid','used car',high,'<100','4<=X<7','male single',young,skilled,bad
929,'no checking','existing paid',radio/tv,low,'no known savings','>=7','male single',middle aged,skilled,good
930,'<0','delayed previously','new car',low,'<100','1<=X<4','male single',middle aged,'unskilled resident',good
931,'<0','existing paid',furniture/equipment,low,'<100','<1','male single',young,'unskilled resident',good
932,'0<=X<200','existing paid',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,bad
933,'no checking','critical/other existing credit','new car',low,'<100','1<=X<4','male single',young,skilled,good
934,'no checking','critical/other existing credit',radio/tv,low,'500<=X<1000','>=7','male single',middle aged,skilled,good
935,'<0','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
936,'0<=X<200','delayed previously',radio/tv,low,'100<=X<500','<1','male single',young,'high qualif/self emp/mgmt',bad
937,'>=200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
938,'0<=X<200','existing paid',radio/tv,medium,'<100','<1','male mar/wid',young,'high qualif/self emp/mgmt',good
939,'0<=X<200','existing paid',education,medium,'<100','1<=X<4','male single',middle aged,skilled,bad
940,'no checking','critical/other existing credit','used car',medium,'no known savings','1<=X<4','male single',middle aged,'high qualif/self emp/mgmt',good
941,'no checking','existing paid','new car',medium,'no known savings','<1','male single',middle aged,'high qualif/self emp/mgmt',good
942,'no checking','existing paid','new car',low,'<100','1<=X<4','male single',young,'unskilled resident',good
943,'no checking','existing paid',furniture/equipment,low,'no known savings','4<=X<7','male single',young,skilled,good
944,'no checking','critical/other existing credit','new car',low,'<100','4<=X<7','male single',middle aged,'unskilled resident',good
945,'<0','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',middle aged,skilled,good
946,'0<=X<200','no credits/all paid','new car',medium,'500<=X<1000','<1','female div/dep/mar',young,skilled,good
947,'<0','all paid',furniture/equipment,medium,'500<=X<1000','<1','male single',young,skilled,bad
948,'no checking','existing paid','new car',medium,'no known savings',unemployed,'male single',young,'high qualif/self emp/mgmt',good
949,'no checking','existing paid',furniture/equipment,low,'<100','<1','male mar/wid',middle aged,'unskilled resident',bad
950,'no checking','existing paid',radio/tv,medium,'100<=X<500','>=7','male single',young,skilled,bad
951,'0<=X<200','critical/other existing credit',business,medium,'<100',unemployed,'male mar/wid',middle aged,'unemp/unskilled non res',good
952,'<0','delayed previously',business,medium,'<100','4<=X<7','male single',young,skilled,bad
953,'0<=X<200','existing paid','used car',medium,'500<=X<1000','<1','female div/dep/mar',young,skilled,bad
954,'no checking','existing paid',furniture/equipment,high,'<100',unemployed,'female div/dep/mar',young,'high qualif/self emp/mgmt',bad
955,'<0','existing paid','new car',low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
956,'<0','critical/other existing credit',radio/tv,low,'>=1000','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
957,'>=200','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,'unskilled resident',good
958,'0<=X<200','critical/other existing credit',radio/tv,low,'<100','>=7','male single',young,'unskilled resident',good
959,'<0','existing paid','new car',medium,'<100','1<=X<4','male single',middle aged,'unskilled resident',bad
960,'0<=X<200','existing paid',furniture/equipment,medium,'100<=X<500','>=7','male single',young,skilled,good
961,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male mar/wid',young,skilled,good
962,'0<=X<200','delayed previously','new car',medium,'<100','1<=X<4','male div/sep',middle aged,skilled,good
963,'no checking','existing paid','new car',medium,'no known savings','1<=X<4','male single',young,skilled,good
964,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male single',young,skilled,bad
965,'0<=X<200','existing paid',repairs,low,'<100','<1','male mar/wid',young,'unskilled resident',good
966,'0<=X<200','existing paid',radio/tv,low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
967,'0<=X<200','critical/other existing credit',radio/tv,medium,'500<=X<1000','1<=X<4','male single',young,'unskilled resident',bad
968,'no checking','existing paid',radio/tv,medium,'<100','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
969,'no checking','existing paid',radio/tv,medium,'no known savings','4<=X<7','male mar/wid',young,skilled,good
970,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',middle aged,'unskilled resident',good
971,'0<=X<200','existing paid',repairs,low,'100<=X<500','1<=X<4','male single',young,skilled,good
972,'no checking','existing paid','new car',medium,'<100','1<=X<4','male single',middle aged,'unskilled resident',good
973,'<0','all paid','new car',low,'<100',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',bad
974,'<0','existing paid',business,medium,'<100','>=7','male single',young,skilled,bad
975,'no checking','critical/other existing credit',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
976,'>=200','existing paid',radio/tv,low,'500<=X<1000','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
977,'0<=X<200','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',old aged,skilled,good
978,'0<=X<200','delayed previously',business,medium,'no known savings','>=7','male single',middle aged,skilled,good
979,'no checking','delayed previously','new car',medium,'<100','>=7','male single',middle aged,'unskilled resident',bad
980,'0<=X<200','all paid','new car',low,'100<=X<500','1<=X<4','male mar/wid',young,skilled,bad
981,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','4<=X<7','male single',middle aged,skilled,bad
982,'no checking','existing paid',business,medium,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',bad
983,'>=200','existing paid','new car',medium,'100<=X<500','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',good
984,'<0','existing paid','used car',medium,'<100','1<=X<4','male single',young,skilled,bad
985,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','4<=X<7','male single',young,'unskilled resident',good
986,'<0','critical/other existing credit',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
987,'>=200','no credits/all paid',business,medium,'<100','<1','male div/sep',young,skilled,good
988,'no checking','existing paid',radio/tv,low,'100<=X<500',unemployed,'female div/dep/mar',old aged,skilled,good
989,'<0','existing paid','used car',medium,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
990,'0<=X<200','critical/other existing credit',radio/tv,low,'<100','>=7','male single',middle aged,'unskilled resident',good
991,'no checking','critical/other existing credit',education,medium,'no known savings','<1','male single',young,'unskilled resident',good
992,'no checking','all paid',radio/tv,low,'100<=X<500','>=7','male single',young,'unskilled resident',good
993,'<0','existing paid',radio/tv,low,'no known savings','4<=X<7','male mar/wid',young,'unskilled resident',good
994,'<0','existing paid',furniture/equipment,medium,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
995,'no checking','existing paid','new car',medium,'no known savings','>=7','male single',middle aged,skilled,good
996,'no checking','existing paid',furniture/equipment,low,'<100','4<=X<7','female div/dep/mar',young,'unskilled resident',good
997,'<0','existing paid','used car',medium,'<100','1<=X<4','male div/sep',middle aged,'high qualif/self emp/mgmt',good
998,'no checking','existing paid',radio/tv,low,'<100','>=7','male single',young,skilled,good
999,'<0','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,skilled,bad
1000,'0<=X<200','critical/other existing credit','used car',medium,'100<=X<500',unemployed,'male single',young,skilled,good
